Zip_Code,Dwelling_Type,Nr_Bedrooms,Nr_Bathrooms,Approx_SQFT,Price_per_SqFt,Property_Type,Dwelling_Styles,Year_Built,Approx_Lot_SqFt,Pool,HOA_Fee,Land_Lease_Fee,Clubhouse_Rec_Room,Basement,RV_Gate,List_Price,Sold_Price,Building_Style,Gated_Community,Workout_Facility,Garage_Spaces,Carport_Spaces,Loan_Type,Payment_Type,Buyer_Concession_to_Seller,Buyer_Concession_$/%,Seller_Concession_to_Buyer,Seller_Concession_$/%
85008,SF,5,1,"1,454",244.15,Residential,Detached,1948,"9,535",None,,N,,BASEMENT Y/N: N,,"349,900","355,000",,,,0,2,Cash,,0,$,4000,$
85009,SF,3,2,"1,080",314.81,Residential,Detached,1989,"6,347",None,,N,,BASEMENT Y/N: N,Yes,"344,990","340,000",,,,0,1,FHA,Fixed,0,$,5000,$
85009,SF,2,1,874,406.17,Residential,Detached,1928,"4,996",None,291,N,Yes,BASEMENT Y/N: N,Yes,"355,000","355,000",Clustered,Yes,Yes,0,1,Conventional,Fixed,0,$,0,$
85009,SF,3,2,"1,325",286.78,Residential,Detached,2007,"6,186",None,291,N,Yes,BASEMENT Y/N: N,Yes,"379,995","379,995",High Rise,Yes,Yes,2,0,FHA,Fixed,0,$,3,%
85009,TH,2,1.5,"1,036",140.93,Residential,Attached,1982,266,None,764.67,N,Yes,BASEMENT Y/N: N,Yes,"155,000","146,000",High Rise,Yes,Yes,0,1,Other,Other,0,%,0,%
85009,SF,2,2,"1,061",306.31,Residential,Detached,1946,"7,248",None,920.87,N,Yes,BASEMENT Y/N: N,Yes,"319,000","325,000",High Rise,Yes,Yes,0,1,FHA,Fixed,0,$,11400,$
85009,AF,3,2,"1,106",161.39,Residential,Attached,1980,272,None,664,N,Yes,BASEMENT Y/N: N,Yes,"185,000","178,500",High Rise,Yes,Yes,0,1,Conventional,Fixed,0,$,3500,$
85009,SF,4,3,"1,216",345.39,Residential,Detached,1966,"6,409",None,1166.92,N,Yes,BASEMENT Y/N: N,Yes,"420,000","420,000",Clustered,Yes,Yes,0,0,FHA,Fixed,0,%,3,%
85009,SF,3,1,780,282.05,Residential,Detached,1932,"7,000",None,764.67,N,Yes,BASEMENT Y/N: N,Yes,"240,000","220,000",Clustered,Yes,Yes,0,0,Cash,Fixed,0,%,0,$
85009,SF,4,2,963,321.91,Residential,Detached,1944,"6,325",None,342,N,Yes,BASEMENT Y/N: N,Yes,"310,000","310,000",String,Yes,Yes,0,1,Conventional,Fixed,0,$,10000,$
85009,SF,3,1,920,342.39,Residential,Detached,1947,"7,858",None,505,N,Yes,BASEMENT Y/N: N,Yes,"315,000","315,000",2-3-4 Plex,Yes,,0,0,FHA,Fixed,0,$,8500,$
85009,SF,3,2,"1,287",291.37,Residential,Detached,1948,"5,698",None,251,N,,BASEMENT Y/N: N,Yes,"375,000","375,000",String,,,0,1,FHA,Fixed,0,$,1.5,%
85009,SF,2,1,709,409.02,Residential,Detached,1947,"5,922",None,400,N,,BASEMENT Y/N: N,Yes,"289,990","290,000",String,,,0,1,FHA,Fixed,0,$,4000,$
