,Zip_Code,Dwelling_Type,Nr_Bedrooms,Nr_Bathrooms,Approx_SQFT,Price_per_SqFt,Dwelling_Styles,Year_Built,Approx_Lot_SqFt,Pool,HOA_Fee,Land_Lease_Fee,Clubhouse_Rec_Room,Basement,RV_Gate,List_Price,Sold_Price,Building_Style,Gated_Community,Workout_Facility,Garage_Spaces,Carport_Spaces,Loan_Type,Payment_Type,HOA_Missing,Buyer_Concession,Seller_Concession,diff_List_Sold
54,85009,AF,3,2.0,1106,161.39,Attached,1980,272,no_pool,664.0,N,Yes,N,Yes,185000,178500,High Rise,Yes,Yes,0.0,1.0,Conventional,Fixed,0,0.0,3500.0,-6500
55,85009,SF,4,3.0,1216,345.39,Detached,1966,6409,no_pool,1166.92,N,Yes,N,Yes,420000,420000,Clustered,Yes,Yes,0.0,0.0,FHA,Fixed,0,0.0,12600.0,0
56,85009,SF,3,1.0,780,282.05,Detached,1932,7000,no_pool,764.67,N,Yes,N,Yes,240000,220000,Clustered,Yes,Yes,0.0,0.0,Cash,Fixed,0,0.0,0.0,-20000
57,85009,SF,4,2.0,963,321.91,Detached,1944,6325,no_pool,342.0,N,Yes,N,Yes,310000,310000,String,Yes,Yes,0.0,1.0,Conventional,Fixed,0,0.0,10000.0,0
58,85009,SF,3,1.0,920,342.39,Detached,1947,7858,no_pool,505.0,N,Yes,N,Yes,315000,315000,2-3-4 Plex,Yes,No,0.0,0.0,FHA,Fixed,0,0.0,8500.0,0
59,85009,SF,3,2.0,1287,291.37,Detached,1948,5698,no_pool,251.0,N,No,N,Yes,375000,375000,String,No,No,0.0,1.0,FHA,Fixed,0,0.0,5625.0,0
60,85009,SF,2,1.0,709,409.02,Detached,1947,5922,no_pool,400.0,N,No,N,Yes,289990,290000,String,No,No,0.0,1.0,FHA,Fixed,0,0.0,4000.0,10
61,85009,SF,4,2.0,1785,228.01,Detached,2019,6100,no_pool,214.0,N,No,N,No,420000,407000,String,No,No,2.0,0.0,Conventional,Other,0,0.0,11550.0,-13000
62,85009,SF,4,2.0,1155,311.68,Detached,1961,6016,no_pool,400.0,N,No,N,No,360000,360000,High Rise,No,No,0.0,1.0,FHA,Other,0,0.0,10000.0,0
63,85009,SF,2,1.0,1155,247.62,Detached,1931,5375,no_pool,365.0,N,No,N,No,284000,286000,2-3-4 Plex,No,No,0.0,0.0,FHA,Fixed,0,0.0,9940.0,2000
64,85009,SF,4,2.0,1500,170.67,Detached,1954,6434,no_pool,359.0,N,No,N,No,270000,256000,Clustered,No,No,0.0,0.0,Other,Fixed,0,0.0,0.0,-14000
